category,yacht,folder_id,url,accessible,error
Катера,Cobalt Zoom 37ft,1wkI8W2_pJSSr6KRlns1GP8qQ1vQztCFp,https://drive.google.com/drive/folders/1wkI8W2_pJSSr6KRlns1GP8qQ1vQztCFp,yes,
Катера,Corsica 40ft,1kkLgg2AhQRqiwSn6bJUz_Iu3ypa9lMjF,https://drive.google.com/drive/folders/1kkLgg2AhQRqiwSn6bJUz_Iu3ypa9lMjF,no,Cannot retrieve the folder information from the link. You may need to change the
Катера,Gambit,1O2zs_hqp-Ww73ZYKa2UX-G5gZe0OJpaR,https://drive.google.com/drive/folders/1O2zs_hqp-Ww73ZYKa2UX-G5gZe0OJpaR,no,
Катера,King,14k-MDq_H3Yvr3iCMbIqpvjttvtL8lkRT,https://drive.google.com/drive/folders/14k-MDq_H3Yvr3iCMbIqpvjttvtL8lkRT,no,Cannot retrieve the folder information from the link. You may need to change the
Катера,Limpopo,1n9y3e9vEQJaBsPGrxuG5LdBo9i6VLZNh,https://drive.google.com/drive/folders/1n9y3e9vEQJaBsPGrxuG5LdBo9i6VLZNh,yes,
Катера,Lucky Star,1Jf9seEQpkK8SgFweQxCwIx37e163wGkQ,https://drive.google.com/drive/folders/1Jf9seEQpkK8SgFweQxCwIx37e163wGkQ,yes,
Катера,Madam Shadow 34ft,1FMaLvFytStxqpHdYt1U14z0lhDZTvJV9,https://drive.google.com/drive/folders/1FMaLvFytStxqpHdYt1U14z0lhDZTvJV9,yes,
Катера,Na-О 29ft,1-UewpN0vqqW6hKYqse8WG7Ec-kR9z4Bq,https://drive.google.com/drive/folders/1-UewpN0vqqW6hKYqse8WG7Ec-kR9z4Bq,yes,
Катера,Nanea 40ft,1nkzoNY9tmGBnA3srACP2Hl29K2MqfvEA,https://drive.google.com/drive/folders/1nkzoNY9tmGBnA3srACP2Hl29K2MqfvEA,yes,
Катера,Ocean Safari 2,1E0PZuW_kokcWq0DLToc7vbymVXHlpvlo,https://drive.google.com/drive/folders/1E0PZuW_kokcWq0DLToc7vbymVXHlpvlo,yes,
Катера,Ocean Safari 3,12ypir_pEtws5_8wu58Hs0oJq0UBXVOSs,https://drive.google.com/drive/folders/12ypir_pEtws5_8wu58Hs0oJq0UBXVOSs,yes,
Катера,Sabi 375,15kSQ5XzMxOflHFtbGmAnYRbXtgkws4gX,https://drive.google.com/drive/folders/15kSQ5XzMxOflHFtbGmAnYRbXtgkws4gX,yes,
Катера,Searay 8,1zoukaWJcDV4JPI3X04UyJXW8-2SR3198,https://drive.google.com/drive/folders/1zoukaWJcDV4JPI3X04UyJXW8-2SR3198,yes,
Катера,Srisuwan 37ft,1gyDJWOFfsXv6xPcdLyokdSAo71x4hwLr,https://drive.google.com/drive/folders/1gyDJWOFfsXv6xPcdLyokdSAo71x4hwLr,yes,
Катера,Voyage 47ft,1qDr9f8xEr6O1nJZqreOuAXZGUN3gHT2B,https://drive.google.com/drive/folders/1qDr9f8xEr6O1nJZqreOuAXZGUN3gHT2B,yes,
Катера,Wave 29 Pro Datto,1Mr-fqcUE8QSRXlF1py9THx-zjbSmsyBw,https://drive.google.com/drive/folders/1Mr-fqcUE8QSRXlF1py9THx-zjbSmsyBw,yes,
Катера,Yamela 15,1-3aAta6zkWW1AQYaOs4YIq3H26q4Mc8T,https://drive.google.com/drive/folders/1-3aAta6zkWW1AQYaOs4YIq3H26q4Mc8T,yes,
Катера,Yamela,0B8woRjxZPP9hWlJ5cjFTYjNPS2c,https://drive.google.com/drive/folders/0B8woRjxZPP9hWlJ5cjFTYjNPS2c,no,Cannot retrieve the folder information from the link. You may need to change the
Моторные катамараны,Aquila 32ft,1Gf5JKXiTC3bqvDkXIwWqqaRzKN4v8Ul6,https://drive.google.com/drive/folders/1Gf5JKXiTC3bqvDkXIwWqqaRzKN4v8Ul6,no,Cannot retrieve the folder information from the link. You may need to change the
Моторные катамараны,Bon Bon 52ft,183x6kaYGFWiBqIWZzEJChTMmnpp_c64T,https://drive.google.com/drive/folders/183x6kaYGFWiBqIWZzEJChTMmnpp_c64T,yes,
Моторные катамараны,Formula 42ft,1nFe9U43FA61JyY7cHFpAUJ2bWDbCsh5T,https://drive.google.com/drive/folders/1nFe9U43FA61JyY7cHFpAUJ2bWDbCsh5T,yes,
Моторные катамараны,Fountain Pajot 40ft,1sgJ-rO7V6nTSkc-P1BLVU3QgOlXqfpjR,https://drive.google.com/drive/folders/1sgJ-rO7V6nTSkc-P1BLVU3QgOlXqfpjR,yes,
Моторные катамараны,GoodTime,11Hz9w4Xjj17qxb6BDSE-NojqpLqCVwsS,https://drive.google.com/drive/folders/11Hz9w4Xjj17qxb6BDSE-NojqpLqCVwsS,yes,
Моторные катамараны,Heysea 40ft,1NhB2FQFpjobn1qjqR8JHV4wD_09KghED,https://drive.google.com/drive/folders/1NhB2FQFpjobn1qjqR8JHV4wD_09KghED,yes,
Моторные катамараны,Hot Chilli,1rp4stQ8rc-CqoWVfPIvnEVnIm6M-fKZp,https://drive.google.com/drive/folders/1rp4stQ8rc-CqoWVfPIvnEVnIm6M-fKZp,yes,
Моторные катамараны,Leopard 40ft,1A_IuUlwfhB-3yaxNFEbD6aU-jYcKcrBC,https://drive.google.com/drive/folders/1A_IuUlwfhB-3yaxNFEbD6aU-jYcKcrBC,yes,
Моторные катамараны,Leopard 43,13Y-c87t3m-Qzewza0tCVe3I_KMyajPQR,https://drive.google.com/drive/folders/13Y-c87t3m-Qzewza0tCVe3I_KMyajPQR,yes,
Моторные катамараны,Leopard 51 La Vie,16CNlcbdQ-0VLMDLg8kl6cd93jV-6Dh07,https://drive.google.com/drive/folders/16CNlcbdQ-0VLMDLg8kl6cd93jV-6Dh07,yes,
Моторные катамараны,Leopard 53ft,1NwPy4RB52UdqmWsTlsHeL2GsWD7wN4vj,https://drive.google.com/drive/folders/1NwPy4RB52UdqmWsTlsHeL2GsWD7wN4vj,yes,
Моторные катамараны,Leopard Aura 51,1kfY0KGyVlMzqPNiGtjqq4jL7kq1qCzhX,https://drive.google.com/drive/folders/1kfY0KGyVlMzqPNiGtjqq4jL7kq1qCzhX,yes,
Моторные катамараны,Lunik Floeth 48ft,lunik48ft,https://drive.google.com/drive/folders/lunik48ft,no,
Моторные катамараны,Luxury Dream Voyager 59ft,19l9_kb9QF7tvyZxqjQhpYVOfr06WUy41,https://drive.google.com/drive/folders/19l9_kb9QF7tvyZxqjQhpYVOfr06WUy41,yes,
Моторные катамараны,My Sky 53ft,1dV-wZB32JESGYoe12yfAFdUwZJwBtugF,https://drive.google.com/drive/folders/1dV-wZB32JESGYoe12yfAFdUwZJwBtugF,yes,
Моторные катамараны,Party Catamaran 110ft,1CxmIYY4VinAjDHbi-reVnU28JbOrJ0Q6,https://drive.google.com/drive/folders/1CxmIYY4VinAjDHbi-reVnU28JbOrJ0Q6,yes,
Моторные катамараны,Prada,1J_3OI1Wh6ZpJBexlXnJdcOvuwi-ADtiA,https://drive.google.com/drive/folders/1J_3OI1Wh6ZpJBexlXnJdcOvuwi-ADtiA,no,Cannot retrieve the folder information from the link. You may need to change the
Моторные катамараны,SeaExplorer,1PjAXYUQ2Y9K7ZB3pX77cs4ZGofLElNNj,https://drive.google.com/drive/folders/1PjAXYUQ2Y9K7ZB3pX77cs4ZGofLElNNj,yes,
Моторные катамараны,Spacecat 118ft,1Cu67yQsgoo9fFblKG_qfAAhUvLsz3zNY,https://drive.google.com/drive/folders/1Cu67yQsgoo9fFblKG_qfAAhUvLsz3zNY,yes,
Моторные катамараны,Tequila 37ft,1CAmQVGOtSMI482UMkr3a8Rl_Be8r2g7q,https://drive.google.com/drive/folders/1CAmQVGOtSMI482UMkr3a8Rl_Be8r2g7q,yes,
Моторные яхты,Anna Maria,0B8woRjxZPP9hWkRqQy0wdFdPTFk,https://drive.google.com/drive/folders/0B8woRjxZPP9hWkRqQy0wdFdPTFk,no,Cannot retrieve the folder information from the link. You may need to change the
Моторные яхты,Arno Leopard 75ft,1F4x8nCX5wbj-5LV0Mo3lMKlrlz2jDflO,https://drive.google.com/drive/folders/1F4x8nCX5wbj-5LV0Mo3lMKlrlz2jDflO,no,Cannot retrieve the folder information from the link. You may need to change the
Моторные яхты,Astondoa 102 GXL,1VVupNFvYewnVflg9DpocaYYlpNwiJrI2,https://drive.google.com/drive/folders/1VVupNFvYewnVflg9DpocaYYlpNwiJrI2,yes,
Моторные яхты,Azimut 46ft,16IA6GY-KNOq3mzOVRG3en8P3V0vvx85H,https://drive.google.com/drive/folders/16IA6GY-KNOq3mzOVRG3en8P3V0vvx85H,yes,
Моторные яхты,Azimut 50,1sU43OUAxVkv4aqVAtfKqHDdpOC5yBuu-,https://drive.google.com/drive/folders/1sU43OUAxVkv4aqVAtfKqHDdpOC5yBuu-,yes,
Моторные яхты,Azimut 55E After,1qRL1N83s5Y_kq-gZ_Ee-XZm9aRioBtSZ,https://drive.google.com/drive/folders/1qRL1N83s5Y_kq-gZ_Ee-XZm9aRioBtSZ,yes,
Моторные яхты,Azimut 60ft,1Fzw4Jmlxdu-DcpJFgguPG71XY7Ozivwi,https://drive.google.com/drive/folders/1Fzw4Jmlxdu-DcpJFgguPG71XY7Ozivwi,yes,
Моторные яхты,Azimut 68ft,1IZIA6aWzes7MxGXWMTtTLC2wjB4CeYVe,https://drive.google.com/drive/folders/1IZIA6aWzes7MxGXWMTtTLC2wjB4CeYVe,yes,
Моторные яхты,Beach Club Yona,1bwkfBFbeNi7yGBoN6X67OXxFxiKF1MfA,https://drive.google.com/drive/folders/1bwkfBFbeNi7yGBoN6X67OXxFxiKF1MfA,yes,
Моторные яхты,Bertram 50,13DAfQkBqjrGc16STGrTI2IXLAtbbHHWk,https://drive.google.com/drive/folders/13DAfQkBqjrGc16STGrTI2IXLAtbbHHWk,yes,
Моторные яхты,Camara C,11vEK2YvHtPwm9bIQe4a1-VbSGwMlADfa,https://drive.google.com/drive/folders/11vEK2YvHtPwm9bIQe4a1-VbSGwMlADfa,yes,
Моторные яхты,Chowa 74,15k3EyME7RJjDPyNPqqA28ihpQB8Jb--4,https://drive.google.com/drive/folders/15k3EyME7RJjDPyNPqqA28ihpQB8Jb--4,yes,
Моторные яхты,Clyde Legacy Princess Sport 58ft,1Uhkd2dS7oIpQOexNdQldKFpYeZttHuPw,https://drive.google.com/drive/folders/1Uhkd2dS7oIpQOexNdQldKFpYeZttHuPw,yes,
Моторные яхты,Cranchi 58ft,1bJeKPnLizRxJazzf1M6-TIaYv7JF-K_u,https://drive.google.com/drive/folders/1bJeKPnLizRxJazzf1M6-TIaYv7JF-K_u,yes,
Моторные яхты,D50 Coupe,1T39rtIs0A1pa1qC_cvzWd1s3WiAT72jh,https://drive.google.com/drive/folders/1T39rtIs0A1pa1qC_cvzWd1s3WiAT72jh,yes,
Моторные яхты,Demarest,1EeiEtX4CZA6B5Znq5_F8xr8XAyKWazZK,https://drive.google.com/drive/folders/1EeiEtX4CZA6B5Znq5_F8xr8XAyKWazZK,yes,
Моторные яхты,Ferretti 80,114DMN3EQgVKKRD_Zju4VzFF_WYAUAeX9,https://drive.google.com/drive/folders/114DMN3EQgVKKRD_Zju4VzFF_WYAUAeX9,yes,
Моторные яхты,Jeaneau 34ft,1N6f_Qg_W2-tOp3C7E9k6KlJzdKzE9s-o,https://drive.google.com/drive/folders/1N6f_Qg_W2-tOp3C7E9k6KlJzdKzE9s-o,yes,
Моторные яхты,Lady M. Sunseeker 54ft,1Btm_RdA7hD7C97xI7rUhG1gVizpxZm0Q,https://drive.google.com/drive/folders/1Btm_RdA7hD7C97xI7rUhG1gVizpxZm0Q,yes,
Моторные яхты,Lamberty 80,1pzmwcB6OY6HuViNHBFeWb7aeE-lQLM0W,https://drive.google.com/drive/folders/1pzmwcB6OY6HuViNHBFeWb7aeE-lQLM0W,no,Cannot retrieve the folder information from the link. You may need to change the
Моторные яхты,Majestic 48ft,13s10VhEN4iXzn6zuf9YaheXTML6DMsBt,https://drive.google.com/drive/folders/13s10VhEN4iXzn6zuf9YaheXTML6DMsBt,yes,
Моторные яхты,Mami Wata,1qesgSkJEFnVPMhxuZBWAhYhwKkJmR0S_,https://drive.google.com/drive/folders/1qesgSkJEFnVPMhxuZBWAhYhwKkJmR0S_,yes,
Моторные яхты,Monte Carlo 86ft,1cY6rv5hK0tgfN5hcYD04_GYqtSX86IsL,https://drive.google.com/drive/folders/1cY6rv5hK0tgfN5hcYD04_GYqtSX86IsL,yes,
Моторные яхты,Moon Glider 90,1p2CqdnT_ykWQVRdJosYcp_V9_utGpx3K,https://drive.google.com/drive/folders/1p2CqdnT_ykWQVRdJosYcp_V9_utGpx3K,yes,
Моторные яхты,Olympia,1-lRseIGxC-AUiiYAMhiy2OjF1zOcIRvQ,https://drive.google.com/drive/folders/1-lRseIGxC-AUiiYAMhiy2OjF1zOcIRvQ,yes,
Моторные яхты,Orange Princess 54,1rUerkO89lovKmyfMb2YP5ui63kyOaHXc,https://drive.google.com/drive/folders/1rUerkO89lovKmyfMb2YP5ui63kyOaHXc,yes,
Моторные яхты,Posillipo-rizzardi Technema 48,12Bwigh6amXYC2JDlqP8QVkdt5zq2vyDa,https://drive.google.com/drive/folders/12Bwigh6amXYC2JDlqP8QVkdt5zq2vyDa,yes,
Моторные яхты,Princess 42 JB 42ft,1TjQ_Q3S4NZKY5AnyVBNqN1u6A949v8KB,https://drive.google.com/drive/folders/1TjQ_Q3S4NZKY5AnyVBNqN1u6A949v8KB,yes,
Моторные яхты,Princess 52ft,1YDlavPyMBcOxY0glGFxfYjTOumcNFOvb,https://drive.google.com/drive/folders/1YDlavPyMBcOxY0glGFxfYjTOumcNFOvb,yes,
Моторные яхты,Princess 65 Oceana,1F7R06A22fcu60Zr8ESQg9Ba3YPJrCPfU,https://drive.google.com/drive/folders/1F7R06A22fcu60Zr8ESQg9Ba3YPJrCPfU,yes,
Моторные яхты,Princess 74,0B8woRjxZPP9hMDZUQ0tZQVEzNzg,https://drive.google.com/drive/folders/0B8woRjxZPP9hMDZUQ0tZQVEzNzg,no,Cannot retrieve the folder information from the link. You may need to change the
Моторные яхты,Princess 78,1L5Xwc1OLKdV1EzUv-u9s3zmivA-iWVdf,https://drive.google.com/drive/folders/1L5Xwc1OLKdV1EzUv-u9s3zmivA-iWVdf,yes,
Моторные яхты,Princess 78ft,1rmlqBWTHpSOyA5AcNTi1yxjqt-tgBtmI,https://drive.google.com/drive/folders/1rmlqBWTHpSOyA5AcNTi1yxjqt-tgBtmI,yes,
